Geo Point;Geo Shape;CODE_EXPL;NOM_EXPL;ID_HASTUS;NOM_ARRET;ADRESSE;X_PHYS;Y_PHYS;X_PROJ;Y_PROJ;X_DECALE;Y_DECALE;CONC_LIGNE;CONC_PTY;CONC_MODE;CODE_INSEE;COMMUNE
43.62437433360869, 1.4767115316101576;"{""coordinates"": [1.476711531610158, 43.62437433360869], ""type"": ""Point""}";6192449487677451;tisseo;40160;Argoulets;INCONNU;1577065.0;2270487.0;;;1577065.0;2270487.0;A;A/3;metro;31555;TOULOUSE
43.62486993246183, 1.4769391176518971;"{""coordinates"": [1.476939117651897, 43.62486993246183], ""type"": ""Point""}";6192449487677451;tisseo;349;Argoulets;CHEMIN DU VERDON;1577084.0;2270532.0;1577080.0;2270528.6;1577084.06083666;2270531.51705036;76;76/42 76/43;bus;31555;TOULOUSE
43.57187340450726, 1.4865317021509747;"{""coordinates"": [1.486531702150975, 43.57187340450726], ""type"": ""Point""}";6192449487677451;tisseo;203;Armentières;RUE CLAUDE GONIN;1577752.0;2264631.0;1577749.6;2264628.6;1577752.8865951;2264632.36802886;37 L08;37/17 L08/52;bus lineo;31555;TOULOUSE
43.60046294830567, 1.3395247300846076;"{""coordinates"": [1.339524730084608, 43.60046294830567], ""type"": ""Point""}";6192449487677451;tisseo;23320;Armurier;CHEMIN DE COURNAUDIS;1565942.0;2268031.0;1565937.2;2268030.8;1565942.16941867;2268031.35215763;32;32/5;bus;31149;COLOMIERS
43.52036799950825, 1.505695704378077;"{""coordinates"": [1.505695704378077, 43.52036799950825], ""type"": ""Point""}";6192449487677451;tisseo;15071;Artaud;BOULEVARD DES GENÊTS;1579198.0;2258882.0;1579202.3;2258884.9;1579197.9179735;2258882.49212879;L06;L06/12;lineo;31113;CASTANET-TOLOSAN
43.592794303670246, 1.4179273187153372;"{""coordinates"": [1.417927318715337, 43.592794303670246], ""type"": ""Point""}";6192449487677451;tisseo;60002;Arènes;INCONNU;1572255.0;2267057.0;1572255.6;2267059.1;1572254.97389919;2267054.13935511;1005;1005/22 1005/26 1005/5;tram;31555;TOULOUSE
43.59339769301293, 1.4184813623097186;"{""coordinates"": [1.418481362309719, 43.59339769301293], ""type"": ""Point""}";6192449487677451;tisseo;40070;Arènes;ALLÉE MAURICE SARRAUT;1572365.0;2267103.0;;;1572365.0;2267103.0;A;A/3;metro;31555;TOULOUSE
43.61355495254796, 1.3970938064728273;"{""coordinates"": [1.397093806472827, 43.61355495254796], ""type"": ""Point""}";6192449487677451;tisseo;6251;Arènes Romaines;AVENUE DES ARÈNES ROMAINES;1570617.0;2269395.0;1570622.9;2269394.0;1570618.11078878;2269395.4359962;35 46 66;35/1 35/2 46/1 66/2;bus;31555;TOULOUSE
43.48726326829361, 1.4875497649557212;"{""coordinates"": [1.487549764955721, 43.48726326829361], ""type"": ""Point""}";6192449487677451;tisseo;19631;As Blancs;D95 B;1577665.0;2255231.0;;;1577665.0;2255231.0;119;119;TAD;31448;REBIGUE
43.65420948530805, 1.4914812384758882;"{""coordinates"": [1.491481238475888, 43.65420948530805], ""type"": ""Point""}";6192449487677451;tisseo;19431;Aspin;RUE DU PUY DE SANCY;1578316.0;2273770.0;1578312.4;2273771.4;1578317.10597335;2273769.71067623;43;43/124;bus;31561;L'UNION
