quartier,distance_transport_m,est_metro_proche
Saint-Cyprien / Empalot,83.4,0
Rangueil / Saouzelong,6.3,0
Saint-Cyprien / Empalot,179.9,0
Borderouge / Bagatelle,218.8,0
Côte Pavée / Jolimont,146.5,0
Rangueil / Saouzelong,212.8,0
Côte Pavée / Jolimont,73.5,0
Borderouge / Bagatelle,78.7,0
Borderouge / Bagatelle,233.1,0
Rangueil / Saouzelong,86.2,0
Capitole / Carmes,130.0,0
Rangueil / Saouzelong,155.0,0
Borderouge / Bagatelle,256.5,0
Borderouge / Bagatelle,100.4,0
Borderouge / Bagatelle,338.7,0
Saint-Cyprien / Empalot,50.1,0
Côte Pavée / Jolimont,136.1,0
Capitole / Carmes,76.4,0
Capitole / Carmes,64.9,0
Borderouge / Bagatelle,130.7,0
Rangueil / Saouzelong,18.5,0
Capitole / Carmes,75.7,0
Borderouge / Bagatelle,163.9,0
Capitole / Carmes,213.7,0
Borderouge / Bagatelle,70.8,0
Capitole / Carmes,178.0,0
Côte Pavée / Jolimont,165.8,0
Capitole / Carmes,115.8,0
Capitole / Carmes,139.1,1
Capitole / Carmes,139.1,1
Croix-Daurade / Minimes,94.0,0
Côte Pavée / Jolimont,80.0,0
Rangueil / Saouzelong,21.1,0
Borderouge / Bagatelle,321.3,0
Rangueil / Saouzelong,185.8,0
Rangueil / Saouzelong,25.6,0
Rangueil / Saouzelong,75.0,0
Capitole / Carmes,127.7,0
Rangueil / Saouzelong,241.5,0
Capitole / Carmes,311.6,0
Borderouge / Bagatelle,134.0,0
Rangueil / Saouzelong,23.9,0
Côte Pavée / Jolimont,111.2,0
Saint-Cyprien / Empalot,100.9,0
Rangueil / Saouzelong,114.8,0
Côte Pavée / Jolimont,46.8,0
Borderouge / Bagatelle,436.9,0
Saint-Cyprien / Empalot,137.4,0
Saint-Cyprien / Empalot,123.2,0
Croix-Daurade / Minimes,377.2,0
Borderouge / Bagatelle,244.5,0
Borderouge / Bagatelle,133.9,0
Saint-Cyprien / Empalot,75.0,0
Côte Pavée / Jolimont,59.5,0
Saint-Cyprien / Empalot,90.4,0
Côte Pavée / Jolimont,320.9,0
Capitole / Carmes,197.6,0
Borderouge / Bagatelle,55.0,0
Borderouge / Bagatelle,89.5,0
Rangueil / Saouzelong,104.4,0
Croix-Daurade / Minimes,344.1,0
Croix-Daurade / Minimes,73.7,0
Croix-Daurade / Minimes,111.8,0
Côte Pavée / Jolimont,89.2,0
Côte Pavée / Jolimont,89.2,0
Côte Pavée / Jolimont,89.2,0
Côte Pavée / Jolimont,89.2,0
Rangueil / Saouzelong,144.4,0
Borderouge / Bagatelle,69.2,0
Côte Pavée / Jolimont,98.6,0
Rangueil / Saouzelong,53.8,0
Capitole / Carmes,45.7,0
Côte Pavée / Jolimont,172.8,0
Côte Pavée / Jolimont,183.7,0
Saint-Cyprien / Empalot,158.5,0
Borderouge / Bagatelle,93.3,0
Croix-Daurade / Minimes,160.1,0
Borderouge / Bagatelle,155.8,0
Côte Pavée / Jolimont,157.1,0
Borderouge / Bagatelle,334.6,0
Côte Pavée / Jolimont,90.8,0
Rangueil / Saouzelong,65.5,0
Borderouge / Bagatelle,250.4,0
Rangueil / Saouzelong,275.2,0
Capitole / Carmes,29.2,0
Croix-Daurade / Minimes,41.2,0
Capitole / Carmes,85.3,0
Saint-Cyprien / Empalot,139.6,0
Croix-Daurade / Minimes,88.9,0
Côte Pavée / Jolimont,137.6,0
Capitole / Carmes,43.7,0
Capitole / Carmes,43.7,0
Capitole / Carmes,136.2,0
Rangueil / Saouzelong,173.8,0
Côte Pavée / Jolimont,258.4,0
Saint-Cyprien / Empalot,3.8,0
Capitole / Carmes,83.5,0
Capitole / Carmes,135.3,0
Saint-Cyprien / Empalot,98.0,0
Capitole / Carmes,291.1,0
Rangueil / Saouzelong,87.1,0
Côte Pavée / Jolimont,115.8,0
Borderouge / Bagatelle,61.8,0
Saint-Cyprien / Empalot,111.2,0
Saint-Cyprien / Empalot,456.0,0
Rangueil / Saouzelong,133.1,0
Croix-Daurade / Minimes,29.1,0
Borderouge / Bagatelle,142.1,0
Borderouge / Bagatelle,153.5,0
Capitole / Carmes,94.5,0
Capitole / Carmes,348.6,0
Capitole / Carmes,348.6,0
Côte Pavée / Jolimont,138.4,0
Saint-Cyprien / Empalot,28.0,0
Côte Pavée / Jolimont,75.8,0
Croix-Daurade / Minimes,152.7,0
Saint-Cyprien / Empalot,162.7,0
Capitole / Carmes,182.9,0
Borderouge / Bagatelle,119.3,1
Rangueil / Saouzelong,18.5,0
Capitole / Carmes,141.8,0
Croix-Daurade / Minimes,246.5,0
Rangueil / Saouzelong,14.6,0
Saint-Cyprien / Empalot,279.8,0
Côte Pavée / Jolimont,96.9,0
Croix-Daurade / Minimes,63.5,0
Saint-Cyprien / Empalot,112.7,0
Saint-Cyprien / Empalot,222.8,0
Rangueil / Saouzelong,126.5,0
Capitole / Carmes,75.7,0
Rangueil / Saouzelong,154.4,0
Croix-Daurade / Minimes,104.0,0
Capitole / Carmes,171.1,0
Capitole / Carmes,52.2,0
Capitole / Carmes,92.9,0
Borderouge / Bagatelle,149.7,1
Saint-Cyprien / Empalot,187.2,0
Côte Pavée / Jolimont,89.5,0
Borderouge / Bagatelle,230.2,0
Saint-Cyprien / Empalot,201.5,0
Rangueil / Saouzelong,276.6,0
Borderouge / Bagatelle,78.4,0
Saint-Cyprien / Empalot,226.1,0
Saint-Cyprien / Empalot,85.1,0
Croix-Daurade / Minimes,144.0,0
Croix-Daurade / Minimes,65.8,0
Borderouge / Bagatelle,111.3,0
Rangueil / Saouzelong,161.7,0
Capitole / Carmes,182.0,0
Capitole / Carmes,240.3,0
Côte Pavée / Jolimont,106.1,0
Borderouge / Bagatelle,118.6,0
Borderouge / Bagatelle,149.2,0
