id_mutation,distance_transport_m,est_metro_proche,mode_arret_proche
5410,109.6,0,bus
5411,233.7,0,bus
5412,20.1,0,bus lineo
5413,139.6,0,bus lineo
5414,29.2,0,bus
5415,29.2,0,bus
5416,46.9,0,lineo
5417,138.4,0,bus
5418,42.4,0,bus
5419,205.1,0,bus
5420,46.2,0,bus
5421,219.3,0,bus
5422,22.0,0,lineo
5423,110.5,0,bus lineo scolaire
5424,420.6,0,bus
5425,219.5,0,bus scolaire
5426,290.2,0,bus
5427,266.1,0,lineo scolaire
5428,55.1,0,bus
5429,211.3,1,metro
5430,152.8,0,bus
5431,276.1,0,bus
5432,41.7,0,bus
5433,75.8,0,bus scolaire
5434,60.4,0,bus
5435,60.4,0,bus
5436,142.1,0,bus
5437,118.0,0,bus
5438,187.7,0,bus
5439,195.3,0,lineo
5440,192.9,0,bus
5441,28.8,0,bus
5442,105.3,0,bus lineo
5443,105.7,0,bus
5444,153.0,0,bus lineo
5445,179.6,0,bus
5446,250.2,0,bus
5447,105.6,0,bus
5448,51.6,0,bus
5449,57.4,0,bus
5450,57.4,0,bus
5451,92.1,0,bus
5452,209.6,0,bus lineo
5453,62.5,0,lineo scolaire
5454,263.3,0,bus
5455,111.2,0,lineo
5456,350.1,0,bus lineo scolaire
5457,5.9,0,lineo
5458,104.9,0,bus lineo
5459,164.8,0,bus
5460,197.7,0,bus
5461,334.6,0,bus
5462,98.8,0,bus lineo
5463,55.0,0,tram
5464,55.0,0,tram
5465,64.2,0,bus
5466,154.0,0,bus
5467,133.1,0,lineo
5468,92.8,0,bus lineo
5469,83.3,0,bus
5470,359.7,0,lineo scolaire
5471,205.5,0,lineo
5472,68.4,0,bus lineo
5473,219.5,0,bus scolaire
5474,71.0,0,bus
5475,157.8,0,lineo
5476,174.1,0,lineo scolaire
5477,36.7,0,bus
5478,249.7,0,lineo
5479,111.9,0,bus
5480,12.7,0,lineo
5481,12.7,0,lineo
5482,160.9,0,lineo
5483,153.5,0,bus
5484,78.3,0,bus scolaire
5485,62.3,0,bus
5486,168.9,0,bus
5487,115.8,0,lineo
5488,209.9,0,lineo
5489,164.2,0,bus
5490,149.0,0,bus
5491,169.6,0,bus
5492,13.8,0,bus
5493,289.5,0,lineo scolaire
5494,389.9,0,bus
5495,30.3,0,bus lineo scolaire
5496,75.7,0,lineo
5497,87.4,0,bus lineo
5498,67.9,0,bus
5499,369.6,0,lineo scolaire
5500,155.8,0,bus scolaire
5501,239.7,0,bus
5502,242.9,0,bus
5503,104.9,0,lineo
5504,213.3,0,bus
5505,105.3,0,bus lineo
5506,88.3,0,lineo
5507,288.3,0,bus
5508,455.2,0,lineo
5509,83.9,0,bus
5510,319.9,0,lineo
5511,129.2,0,bus
5512,126.0,0,lineo scolaire
5513,114.3,1,metro
5514,34.9,0,bus
5515,84.3,0,bus lineo
5516,79.2,0,bus lineo
5517,176.8,0,bus lineo
5518,101.5,0,bus
5519,126.1,0,lineo
5520,154.9,0,lineo scolaire
5521,38.4,0,lineo scolaire
5522,166.4,0,bus
5523,205.2,0,bus lineo scolaire
5524,159.7,1,metro
5525,129.2,0,bus
5526,255.8,0,bus
5527,165.3,0,lineo scolaire
5528,45.6,0,bus
5529,300.2,0,lineo
5530,60.5,0,bus
5531,56.7,0,bus
5532,104.4,0,bus
5533,23.3,0,bus
5534,156.0,0,bus
5535,58.2,0,bus
5536,256.5,0,bus
5537,207.9,0,lineo
5538,286.0,0,lineo scolaire
5539,72.0,0,bus lineo
5540,248.6,0,bus
5541,272.8,0,bus
5542,102.6,0,bus
5543,344.7,0,bus
5544,114.0,0,bus
5545,61.5,0,bus
5546,218.5,0,lineo scolaire
5547,102.6,0,scolaire
5548,63.5,0,bus
5549,450.5,0,lineo
5550,49.4,0,bus
5551,70.6,0,bus
5552,127.1,0,bus lineo
5553,127.1,0,bus lineo
5554,106.5,0,bus
5555,148.9,0,bus
5556,90.0,0,bus
5557,64.8,0,bus
5558,64.8,0,bus
5559,64.8,0,bus
5560,64.8,0,bus
5561,64.8,0,bus
5562,93.4,0,bus
5563,227.9,0,bus lineo
5564,31.6,1,metro
5565,229.5,0,bus
5566,46.8,0,bus lineo
5567,46.8,0,bus lineo
5568,221.1,0,bus
5569,147.6,0,bus
5570,159.2,0,bus
5571,123.9,0,bus
5572,165.3,0,bus
5573,9.9,0,lineo
5574,140.4,0,bus
5575,160.6,0,bus
5576,120.1,1,metro
5577,137.9,0,bus
5578,172.9,0,bus
5579,182.2,0,bus
5580,153.9,0,bus
5581,131.5,0,bus
5582,83.0,0,bus lineo
5583,249.8,0,bus
5584,52.2,0,bus
5585,242.2,0,lineo
5586,202.2,0,bus lineo scolaire
5587,74.0,0,bus
5588,183.8,0,lineo scolaire
5589,37.7,0,bus lineo
5590,134.8,0,lineo scolaire
5591,187.2,0,bus lineo
5592,113.3,0,bus
5593,76.9,0,bus
5594,111.1,0,bus
5595,169.1,0,bus
5596,62.4,0,bus
5597,111.5,0,bus
5598,184.4,0,bus
5599,184.4,0,bus
5600,185.4,0,bus
5601,183.4,0,bus
5602,71.0,0,bus
5603,181.0,0,tram
5604,98.1,0,bus scolaire
5605,76.5,0,bus
5606,72.2,0,bus
5607,129.6,0,bus
5608,188.1,0,lineo scolaire
5609,136.5,0,bus lineo
5610,35.7,0,bus
5611,88.4,0,bus lineo
5612,107.1,0,bus lineo
5613,207.1,1,metro
5614,135.7,0,bus
5615,85.2,0,lineo scolaire
5616,144.2,0,bus
5617,137.6,0,bus
5618,25.9,0,bus lineo
5619,243.1,0,bus
5620,79.2,0,bus
5621,149.4,0,bus scolaire
5622,153.3,0,bus lineo
5623,120.2,0,bus
5624,272.2,0,bus lineo
5625,104.1,0,bus
5626,318.3,0,bus
5627,166.4,0,bus
5628,141.3,0,bus
5629,60.6,0,bus
