surface_m2,nb_pieces,is_maison,revenu_median_mensuel,taux_pauvrete_pct,population_2019,part_jeunes_pct,part_seniors_pct,mois_mutation,distance_transport_m,est_metro_proche,q_Bagatelle / Reynerie,q_Borderouge / Croix-Daurade,q_Capitole / Carmes,q_Côte Pavée / Jolimont,q_Rangueil / Saouzelong,q_Saint-Cyprien / Arènes
37.0,2,0,2155.0,15.3,70863,28.8,15.8,8,,,False,False,False,False,False,True
83.0,4,0,1935.5,19.1,96734,32.2,13.0,11,34.1,0.0,False,True,False,False,False,False
100.0,3,0,1529.5,36.2,105462,32.7,11.3,10,,,False,False,False,False,True,False
88.0,4,1,2324.5,16.1,83796,41.1,13.4,3,,,False,False,True,False,False,False
145.0,6,1,1956.6,18.3,66372,26.5,15.3,7,,,True,False,False,False,False,False
50.0,2,0,1935.5,19.1,96734,32.2,13.0,3,,,False,True,False,False,False,False
68.0,3,0,1529.5,36.2,105462,32.7,11.3,12,,,False,False,False,False,True,False
52.0,3,0,1935.5,19.1,96734,32.2,13.0,3,,,False,True,False,False,False,False
48.0,2,0,1638.4,25.8,70238,27.7,10.2,3,,,False,False,False,True,False,False
62.0,3,0,1529.5,36.2,105462,32.7,11.3,2,,,False,False,False,False,True,False
64.0,3,0,1638.4,25.8,70238,27.7,10.2,4,,,False,False,False,True,False,False
124.0,5,0,2155.0,15.3,70863,28.8,15.8,5,,,False,False,False,False,False,True
70.0,5,1,1638.4,25.8,70238,27.7,10.2,8,,,False,False,False,True,False,False
95.0,1,0,2324.5,16.1,83796,41.1,13.4,3,297.0,0.0,False,False,True,False,False,False
65.0,2,0,2324.5,16.1,83796,41.1,13.4,3,,,False,False,True,False,False,False
30.0,1,0,2324.5,16.1,83796,41.1,13.4,7,123.2,0.0,False,False,True,False,False,False
78.0,3,0,1529.5,36.2,105462,32.7,11.3,11,,,False,False,False,False,True,False
72.0,4,0,1956.6,18.3,66372,26.5,15.3,2,172.3,0.0,True,False,False,False,False,False
66.0,3,0,1638.4,25.8,70238,27.7,10.2,3,,,False,False,False,True,False,False
55.0,3,0,1935.5,19.1,96734,32.2,13.0,3,,,False,True,False,False,False,False
71.0,3,0,1956.6,18.3,66372,26.5,15.3,12,,,True,False,False,False,False,False
38.0,2,0,1935.5,19.1,96734,32.2,13.0,8,,,False,True,False,False,False,False
